issue_id	path	collections	ext	name	series_name	volume	year	issue_no	confidence
37	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/026 - Batman 033 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 033	Batman	-1	2014	33	0	75
38	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/019 - Green Arrow 025 (2014) (Digital) (Nahga-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Green Arrow 025	Green Arrow	-1	2014	25	0	75
39	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/001 - Batman 000 (4 Covers) (2012) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 000 (4 Covers)	Batman	-1	2012	0	0	75
40	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/003 - Batman Annual 02 (2013) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman Annual 02	Batman Annual	-1	2013	2	0	75
41	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/011 - Nightwing 025 (2014) (Digital) (Nahga-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Nightwing 025	Nightwing	-1	2014	25	0	75
42	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/025 - Batman 032 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 032	Batman	-1	2014	32	0	75
43	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/015 - Batwoman 025 (2014) (Digital) (Nahga-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batwoman 025	Batwoman	-1	2014	25	0	75
44	/Volumes/Backup Plus/Comics/Batman/Batman - Zero Year (Arc) (2014) GetComics.INFO/020 - Batman 026 (2014) (Digital) (Zone-Empire).cbr	['Batman - Zero Year (Arc) (2014) GetComics.INFO', 'Batman']	cbr	Batman 026	Batman	-1	2014	26	0	75
45	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Batgirl/Batman - Batgirl 01 (1998) (digital) (OkC.O.M.P.U.T.O.-Novus-HD).cbz	['Batman-Batgirl', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Batman - Batgirl 01	Batman - Batgirl	-1	1998	1	0	75
46	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Batman-Batgirl/Batman - Batgirl 01 (1997) (digital) (OkC.O.M.P.U.T.O.-Novus-HD).cbz	['Batman-Batgirl', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbz	Batman - Batgirl 01	Batman - Batgirl	-1	1997	1	0	75
47	/Volumes/Backup Plus/Comics/Batman/01. Batman (Ultimate Collection Part 2) GetComics.INFO/Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)/6- Bruce Wayne - The Road Home - Commissioner Gordon 01 (2010) (Minutemen-Oracle).cbr	['Bruce Wayne - The Road Home (One-Shots)(2010) (Minutemen)', '01. Batman (Ultimate Collection Part 2) GetComics.INFO', 'Batman']	cbr	Bruce Wayne - The Road Home - Commissioner Gordon 01	Bruce Wayne - The Road Home - Commissioner Gordon	-1	2010	1	0	75
